"Sequence Number";Count
0;12754
1;12760
2;12773
3;12771
4;12767
5;12755
6;12762
7;12766
8;12764
9;12770
10;12764
11;12775
12;12765
13;12768
14;12777
15;12765
16;12771
17;12757
18;12771
19;12768
20;12766
21;12770
22;12764
23;12761
24;12767
25;12768
26;12763
27;12758
28;12765
29;12766
30;12756
31;12770
32;12761
33;12757
34;12770
35;12758
36;12760
37;12761
38;12747
39;12753
40;12769
41;12768
42;12734
43;12742
44;12748
45;12744
46;12740
47;12756
48;12748
49;12762
50;12767
51;12769
52;12753
53;12760
54;12773
55;12780
56;12762
57;12768
58;12768
59;12769
60;12768
61;12762
62;12760
63;12764
64;12754
65;12756
66;12760
67;12748
68;12750
69;12749
70;12757
71;12751
72;12743
73;12744
74;12746
75;12749
76;12747
77;12746
78;12743
79;12745
80;12756
81;12740
82;12732
83;12734
84;12723
85;12748
86;12725
87;12733
88;12737
89;12728
90;12731
91;12732
92;12734
93;12736
94;12731
95;12729
96;12730
97;12729
98;12727
99;12725
100;12737
101;12729
102;12719
103;12725
104;12723
105;12720
106;12718
107;12726
108;12705
109;12712
110;12708
111;12697
112;12712
113;12712
114;12713
115;12720
116;12724
117;12721
118;12719
119;12719
120;12714
121;12718
122;12709
123;12710
124;12712
125;12710
126;12711
127;12702
128;12711
129;12702
130;12701
131;12704
132;12710
133;12705
134;12710
135;12706
136;12710
137;12709
138;12703
139;12708
140;12710
141;12714
142;12712
143;12713
144;12723
145;12723
146;12727
147;12731
148;12729
149;12738
150;12754
151;12747
152;12744
153;12739
154;12739
155;12736
156;12758
157;12754
158;12748
159;12757
160;12756
161;12749
162;12757
163;12752
164;12759
165;12753
166;12744
167;12742
168;12748
169;12754
170;12748
171;12736
172;12739
173;12737
174;12748
175;12745
176;12751
177;12754
178;12713
179;12729
180;12742
181;12745
182;12747
183;12760
184;12778
185;12773
186;12785
187;12779
188;12789
189;12790
190;12786
191;12774
192;12783
193;12791
194;12785
195;12787
196;12790
197;12788
198;12781
199;12785
200;12789
201;12783
202;12781
203;12780
204;12780
205;12772
206;12776
207;12786
208;12783
209;12770
210;12777
211;12767
212;12772
213;12764
214;12763
215;12765
216;12769
217;12764
218;12758
219;12769
220;12760
221;12762
222;12757
223;12751
224;12748
225;12738
226;12736
227;12745
228;12744
229;12742
230;12746
231;12742
232;12742
233;12747
234;12735
235;12736
236;12741
237;12742
238;12735
239;12724
240;12741
241;12746
242;12743
243;12740
244;12733
245;12723
246;12735
247;12735
248;12748
249;12732
250;12730
251;12728
252;12736
253;12739
254;12732
255;12725
256;12727
257;12743
258;12743
259;12745
260;12740
261;12741
262;12725
263;12725
264;12743
265;12730
266;12723
267;12729
268;12735
269;12744
270;12745
271;12736
272;12748
273;12746
274;12742
275;12739
276;12737
277;12747
278;12745
279;12761
280;12786
281;12788
282;12776
283;12779
284;12780
285;12782
286;12784
287;12787
288;12803
289;12802
290;12805
291;12794
292;12792
293;12779
294;12786
295;12774
296;12786
297;12792
298;12795
299;12783
300;12774
301;12797
302;12789
303;12790
304;12801
305;12797
306;12792
307;12787
308;12793
309;12794
310;12793
311;12790
312;12779
313;12786
314;12784
315;12783
316;12773
317;12781
318;12787
319;12791
320;12795
321;12766
322;12737
323;12689
