Timestamp,RSSI,Configuration Version,Status Version,Calibration Action
1478917610570,20287,3,7,37
1478917610571,20288,3,7,0
1478917610572,20287,3,7,0
1478917610573,20289,3,7,0
1478917610574,20287,3,7,0
1478917610575,20287,3,7,0
1478917610576,20286,3,7,0
1478917610577,20287,3,7,0
1478917610578,20288,3,7,0
1478917610579,20289,3,7,0
1478917610580,20287,3,7,0
1478917610581,20289,3,7,0
1478917610582,20289,3,7,0
1478917610583,20289,3,7,0
1478917610584,20288,3,7,0
1478917610585,20290,3,7,0
1478917610586,20288,3,7,0
1478917610587,20290,3,7,0
1478917610588,20288,3,7,0
1478917610589,20289,3,7,0
1478917610590,20289,3,7,0
1478917610591,20288,3,7,0
1478917610592,20289,3,7,0
1478917610593,20288,3,7,0
1478917610594,20288,3,7,0
1478917610595,20289,3,7,0
1478917610596,20288,3,7,0
1478917610597,20289,3,7,0
1478917610598,20288,3,7,0
1478917610599,20289,3,7,0
1478917610600,20288,3,7,0
1478917610601,20287,3,7,0
1478917610602,20287,3,7,0
1478917610603,20287,3,7,0
1478917610604,20288,3,7,0
1478917610605,20286,3,7,0
1478917610606,20289,3,7,0
1478917610607,20288,3,7,0
1478917610608,20288,3,7,0
1478917610609,20288,3,7,0
1478917610610,20289,3,7,0
1478917610611,20288,3,7,0
1478917610612,20288,3,7,0
1478917610613,20288,3,7,0
1478917610614,20288,3,7,0
1478917610615,20288,3,7,0
1478917610616,20287,3,7,0
1478917610617,20289,3,7,0
1478917610618,20289,3,7,0
1478917610619,20288,3,7,0
1478917610620,20289,3,7,0
1478917610621,20289,3,7,0
1478917610622,20288,3,7,0
1478917610623,20288,3,7,0
1478917610624,20289,3,7,0
1478917610625,20288,3,7,0
1478917610626,20288,3,7,0
1478917610627,20288,3,7,0
1478917610628,20288,3,7,0
1478917610629,20288,3,7,0
1478917610630,20288,3,7,0
1478917610631,20288,3,7,0
1478917610632,20288,3,7,0
1478917610633,20287,3,7,0
1478917610634,20288,3,7,0
1478917610635,20288,3,7,0
1478917610636,20287,3,7,0
1478917610637,20289,3,7,0
1478917610638,20289,3,7,0
1478917610639,20288,3,7,0
1478917610640,20288,3,7,0
1478917610641,20287,3,7,0
1478917610642,20288,3,7,0
1478917610643,20290,3,7,0
1478917610644,20289,3,7,0
1478917610645,20289,3,7,0
1478917610646,20289,3,7,0
1478917610647,20288,3,7,0
1478917610648,20288,3,7,0
1478917610649,20287,3,7,0
1478917610650,20288,3,7,0
1478917610651,20288,3,7,0
1478917610652,20288,3,7,0
1478917610653,20290,3,7,0
1478917610654,20289,3,7,0
1478917610655,20288,3,7,0
1478917610656,20289,3,7,0
1478917610657,20289,3,7,0
1478917610658,20289,3,7,0
1478917610659,20289,3,7,0
1478917610660,20288,3,7,0
1478917610661,20288,3,7,0
1478917610662,20288,3,7,0
1478917610663,20289,3,7,0
1478917610664,20285,3,7,0
1478917610665,20284,3,7,0
1478917610666,20282,3,7,0
1478917610667,20281,3,7,0
1478917610668,20283,3,7,0
1478917610669,20286,3,7,0
1478917610670,20287,3,7,0
1478917610671,20288,3,7,0
1478917610672,20288,3,7,0
1478917610673,20287,3,7,0
1478917610674,20288,3,7,0
1478917610675,20289,3,7,0
1478917610676,20288,3,7,0
1478917610677,20289,3,7,0
1478917610678,20288,3,7,0
1478917610679,20289,3,7,0
1478917610680,20288,3,7,0
1478917610681,20288,3,7,0
1478917610682,20288,3,7,0
1478917610683,20288,3,7,0
1478917610684,20288,3,7,0
1478917610685,20289,3,7,0
1478917610686,20289,3,7,0
1478917610687,20288,3,7,0
1478917610688,20289,3,7,0
1478917610689,20287,3,7,0
1478917610690,20287,3,7,0
1478917610691,20287,3,7,0
1478917610692,20287,3,7,0
1478917610693,20288,3,7,0
1478917610694,20288,3,7,0
1478917610695,20289,3,7,0
1478917610696,20289,3,7,0
1478917610697,20288,3,7,0
1478917610698,20288,3,7,0
1478917610699,20289,3,7,0
1478917610700,20288,3,7,0
1478917610701,20289,3,7,0
1478917610702,20289,3,7,0
1478917610703,20288,3,7,0
1478917610704,20288,3,7,0
1478917610705,20288,3,7,0
1478917610706,20289,3,7,0
1478917610707,20288,3,7,0
1478917610708,20289,3,7,0
1478917610709,20288,3,7,0
1478917610710,20287,3,7,0
1478917610711,20287,3,7,0
1478917610712,20288,3,7,0
1478917610713,20288,3,7,0
1478917610714,20287,3,7,0
1478917610715,20288,3,7,0
1478917610716,20288,3,7,0
1478917610717,20289,3,7,0
1478917610718,20287,3,7,0
1478917610719,20288,3,7,0
1478917610720,20288,3,7,0
1478917610721,20288,3,7,0
1478917610722,20289,3,7,0
1478917610723,20287,3,7,0
1478917610724,20288,3,7,0
1478917610725,20287,3,7,0
1478917610726,20286,3,7,0
1478917610727,20287,3,7,0
1478917610728,20286,3,7,0
1478917610729,20286,3,7,0
1478917610730,20286,3,7,0
1478917610731,20287,3,7,0
1478917610732,20286,3,7,0
1478917610733,20287,3,7,0
1478917610734,20286,3,7,0
1478917610735,20286,3,7,0
1478917610736,20287,3,7,0
1478917610737,20288,3,7,0
1478917610738,20288,3,7,0
1478917610739,20288,3,7,0
1478917610740,20287,3,7,0
1478917610741,20286,3,7,0
1478917610742,20288,3,7,0
1478917610743,20286,3,7,0
1478917610744,20287,3,7,0
1478917610745,20288,3,7,0
1478917610746,20287,3,7,0
1478917610747,20288,3,7,0
1478917610748,20288,3,7,0
1478917610749,20287,3,7,0
1478917610750,20288,3,7,0
1478917610751,20288,3,7,0
1478917610752,20287,3,7,0
1478917610753,20288,3,7,0
1478917610754,20289,3,7,0
1478917610755,20287,3,7,0
1478917610756,20287,3,7,0
1478917610757,20288,3,7,0
1478917610758,20287,3,7,0
1478917610759,20288,3,7,0
1478917610760,20286,3,7,0
1478917610761,20287,3,7,0
1478917610762,20288,3,7,0
1478917610763,20288,3,7,0
1478917610764,20287,3,7,0
1478917610765,20288,3,7,0
1478917610766,20280,3,7,0
1478917610767,20282,3,7,0
1478917610768,20283,3,7,0
1478917610769,20283,3,7,0
1478917610770,20285,3,7,0
1478917610771,20287,3,7,0
1478917610772,20286,3,7,0
1478917610773,20288,3,7,0
1478917610774,20288,3,7,0
1478917610775,20288,3,7,0
1478917610776,20288,3,7,0
1478917610777,20289,3,7,0
1478917610778,20288,3,7,0
1478917610779,20289,3,7,0
1478917610780,20289,3,7,0
1478917610781,20287,3,7,0
1478917610782,20288,3,7,0
1478917610783,20286,3,7,0
1478917610784,20286,3,7,0
1478917610785,20287,3,7,0
1478917610786,20288,3,7,0
1478917610787,20288,3,7,0
1478917610788,20289,3,7,0
1478917610789,20289,3,7,0
1478917610790,20287,3,7,0
1478917610791,20287,3,7,0
1478917610792,20287,3,7,0
1478917610793,20289,3,7,0
1478917610794,20288,3,7,0
1478917610795,20288,3,7,0
1478917610796,20289,3,7,0
1478917610797,20289,3,7,0
1478917610798,20290,3,7,0
1478917610799,20288,3,7,0
1478917610800,20289,3,7,0
1478917610801,20287,3,7,0
1478917610802,20287,3,7,0
1478917610803,20287,3,7,0
1478917610804,20288,3,7,0
1478917610805,20289,3,7,0
1478917610806,20289,3,7,0
1478917610807,20288,3,7,0
1478917610808,20288,3,7,0
1478917610809,20288,3,7,0
1478917610810,20288,3,7,0
1478917610811,20289,3,7,0
1478917610812,20290,3,7,0
1478917610813,20288,3,7,0
1478917610814,20289,3,7,0
1478917610815,20289,3,7,0
1478917610816,20289,3,7,0
1478917610817,20290,3,7,0
1478917610818,20288,3,7,0
1478917610819,20288,3,7,0
1478917610820,20289,3,7,0
1478917610821,20289,3,7,0
1478917610822,20289,3,7,0
1478917610823,20289,3,7,0
1478917610824,20289,3,7,0
1478917610825,20288,3,7,0
1478917610826,20287,3,7,0
1478917610827,20289,3,7,0
1478917610828,20289,3,7,0
1478917610829,20289,3,7,0
1478917610830,20289,3,7,0
1478917610831,20288,3,7,0
1478917610832,20288,3,7,0
1478917610833,20289,3,7,0
1478917610834,20289,3,7,0
1478917610835,20288,3,7,0
1478917610836,20290,3,7,0
1478917610837,20289,3,7,0
1478917610838,20289,3,7,0
1478917610839,20289,3,7,0
1478917610840,20289,3,7,0
1478917610841,20289,3,7,0
1478917610842,20289,3,7,0
1478917610843,20290,3,7,0
1478917610844,20289,3,7,0
1478917610845,20288,3,7,0
