Timestamp,RSSI,Configuration Version,Status Version,Calibration Action
1478783021001,20262,3,6,19
1478783021002,20269,3,6,0
1478783021003,20269,3,6,0
1478783021004,20269,3,6,0
1478783021005,20269,3,6,0
1478783021006,20269,3,6,0
1478783021007,20269,3,6,0
1478783021008,20271,3,6,0
1478783021009,20269,3,6,0
1478783021010,20270,3,6,0
1478783021011,20271,3,6,0
1478783021012,20269,3,6,0
1478783021013,20269,3,6,0
1478783021014,20269,3,6,0
1478783021015,20270,3,6,0
1478783021016,20270,3,6,0
1478783021017,20270,3,6,0
1478783021018,20269,3,6,0
1478783021019,20269,3,6,0
1478783021020,20268,3,6,0
1478783021021,20268,3,6,0
1478783021022,20266,3,6,0
1478783021023,20267,3,6,0
1478783021024,20266,3,6,0
1478783021025,20267,3,6,0
1478783021026,20267,3,6,0
1478783021027,20266,3,6,0
1478783021028,20267,3,6,0
1478783021029,20267,3,6,0
1478783021030,20266,3,6,0
1478783021031,20265,3,6,0
1478783021032,20265,3,6,0
1478783021033,20265,3,6,0
1478783021034,20265,3,6,0
1478783021035,20267,3,6,0
1478783021036,20265,3,6,0
1478783021037,20266,3,6,0
1478783021038,20590,3,6,0
1478783021039,20866,3,6,0
1478783021040,20871,3,6,0
1478783021041,20687,3,6,0
1478783021042,20690,3,6,0
1478783021043,20299,3,6,0
1478783021044,20270,3,6,0
1478783021045,20270,3,6,0
1478783021046,20269,3,6,0
1478783021047,20271,3,6,0
1478783021048,20270,3,6,0
1478783021049,20271,3,6,0
1478783021050,20272,3,6,0
1478783021051,20272,3,6,0
1478783021052,20274,3,6,0
1478783021053,20273,3,6,0
1478783021054,20273,3,6,0
1478783021055,20272,3,6,0
1478783021056,20275,3,6,0
1478783021057,20276,3,6,0
1478783021058,20276,3,6,0
1478783021059,20277,3,6,0
1478783021060,20277,3,6,0
1478783021061,20276,3,6,0
1478783021062,20275,3,6,0
1478783021063,20276,3,6,0
1478783021064,20276,3,6,0
1478783021065,20278,3,6,0
1478783021066,20278,3,6,0
1478783021067,20277,3,6,0
1478783021068,20278,3,6,0
1478783021069,20278,3,6,0
1478783021070,20277,3,6,0
1478783021071,20278,3,6,0
1478783021072,20278,3,6,0
1478783021073,20277,3,6,0
1478783021074,20278,3,6,0
1478783021075,20277,3,6,0
1478783021076,20278,3,6,0
1478783021077,20278,3,6,0
1478783021078,20277,3,6,0
