Timestamp,Count,Configuration Version,Status Version,Calibration Action
1477678319035,14976,1,2,0
1477678319036,14981,1,2,0
1477678319037,14980,1,2,0
1477678319038,14977,1,2,0
1477678319039,14980,1,2,0
1477678319040,14976,1,2,0
1477678319041,14977,1,2,0
1477678319042,14979,1,2,0
1477678319043,14977,1,2,0
1477678319044,14977,1,2,0
1477678319045,14976,1,2,0
1477678319046,14976,1,2,0
1477678319047,14978,1,2,0
1477678319048,14976,1,2,0
1477678319049,14976,1,2,0
1477678319050,14977,1,2,0
1477678319051,14976,1,2,0
1477678319052,14979,1,2,0
1477678319053,14978,1,2,0
1477678319054,14982,1,2,0
1477678319055,14978,1,2,0
1477678319056,14975,1,2,0
1477678319057,14975,1,2,0
1477678319058,14978,1,2,0
1477678319059,14982,1,2,0
1477678319060,14992,1,2,0
1477678319061,15105,1,2,0
1477678319062,15144,1,2,0
1477678319063,14977,1,2,0
1477678319064,14976,1,2,0
1477678319065,14973,1,2,0
1477678319066,14975,1,2,0
1477678319067,15015,1,2,0
1477678319068,15032,1,2,0
1477678319069,14975,1,2,0
1477678319070,14978,1,2,0
1477678319071,14977,1,2,0
1477678319072,14976,1,2,0
1477678319073,14974,1,2,0
1477678319074,14972,1,2,0
1477678319075,14970,1,2,0
1477678319076,14974,1,2,0
1477678319077,14974,1,2,0
1477678319078,14971,1,2,0
1477678319079,14972,1,2,0
1477678319080,14969,1,2,0
1477678319081,14969,1,2,0
1477678319082,14969,1,2,0
1477678319083,14969,1,2,0
1477678319084,14969,1,2,0
1477678319085,14971,1,2,0
1477678319086,14971,1,2,0
1477678319087,14970,1,2,0
1477678319088,14967,1,2,0
1477678319089,14965,1,2,0
1477678319090,14968,1,2,0
1477678319091,14966,1,2,0
1477678319092,14967,1,2,0
1477678319093,14970,1,2,0
1477678319094,14969,1,2,0
1477678319095,14969,1,2,0
1477678319096,14966,1,2,0
1477678319097,14965,1,2,0
1477678319098,14967,1,2,0
1477678319099,14965,1,2,0
1477678319100,14964,1,2,0
1477678319101,14964,1,2,0
1477678319102,14968,1,2,0
1477678319103,14966,1,2,0
1477678319104,14965,1,2,0
1477678319105,14963,1,2,0
1477678319106,14965,1,2,0
1477678319107,14964,1,2,0
1477678319108,14968,1,2,0
1477678319109,14970,1,2,0
1477678319110,14968,1,2,0
1477678319111,15010,1,2,0
1477678319112,15100,1,2,0
1477678319113,15062,1,2,0
1477678319114,14981,1,2,0
