Identifier,Sampling Action,Timestamp,Hydration State,Drinking Action,Water Intake,Config Version,Status Version,Exercise Action,Exercise Intensity
1,0,1477578227641,3,0,0,1,1,0,0
2,2,1477578234477,3,0,0,1,1,0,0
3,1,1477578528741,3,0,0,1,1,0,0
4,0,1477578994096,2,0,0,1,2,0,0
5,1,1477579008475,2,0,0,1,2,0,0
6,0,1477579028155,2,0,0,1,2,0,0
7,1,1477579330455,2,0,0,1,2,0,0
8,0,1477579752321,2,0,0,1,3,0,0
9,1,1477579765325,2,0,0,1,3,0,0
10,0,1477579781725,2,0,0,1,3,0,0
11,1,1477580087436,2,0,0,1,3,0,0
12,0,1477919980608,1,0,0,1,6,0,0
13,2,1477920042765,1,1,0,1,6,0,0
14,2,1477920180808,1,2,0,1,6,0,0
15,2,1477920190509,4,0,0,1,6,0,0
16,2,1477920398308,3,0,0,1,6,0,0
17,2,1477920810408,2,0,0,1,6,0,0
18,1,1477921184015,2,0,0,1,6,0,0
