Timestamp,Count,Configuration Version,Status Version,Calibration Action
1477575719987,20206,1,5,5
1477575719988,20215,1,5,0
1477575719989,20217,1,5,0
1477575719990,20217,1,5,0
1477575719991,20216,1,5,0
1477575719992,20215,1,5,0
1477575719993,20217,1,5,0
1477575719994,20217,1,5,0
1477575719995,20217,1,5,0
1477575719996,20215,1,5,0
1477575719997,20216,1,5,0
1477575719998,20217,1,5,0
1477575719999,20215,1,5,0
1477575720000,20215,1,5,0
1477575720001,20217,1,5,0
1477575720002,20218,1,5,0
1477575720003,20218,1,5,0
1477575720004,20218,1,5,0
1477575720005,20215,1,5,0
1477575720006,20216,1,5,0
1477575720007,20216,1,5,0
1477575720008,20216,1,5,0
1477575720009,20216,1,5,0
1477575720010,20216,1,5,0
1477575720011,20217,1,5,0
1477575720012,20219,1,5,0
1477575720013,20217,1,5,0
1477575720014,20217,1,5,0
1477575720015,20217,1,5,0
1477575720016,20217,1,5,0
1477575720017,20218,1,5,0
1477575720018,20217,1,5,0
1477575720019,20210,1,5,0
1477575720020,20214,1,5,0
1477575720021,20217,1,5,0
1477575720022,20217,1,5,0
1477575720023,20216,1,5,0
1477575720024,20216,1,5,0
1477575720025,20217,1,5,0
1477575720026,20217,1,5,0
1477575720027,20217,1,5,0
1477575720028,20217,1,5,0
1477575720029,20219,1,5,0
1477575720030,20218,1,5,0
1477575720031,20217,1,5,0
1477575720032,20215,1,5,0
1477575720033,20216,1,5,0
1477575720034,20216,1,5,0
1477575720035,20218,1,5,0
1477575720036,20218,1,5,0
1477575720037,20217,1,5,0
1477575720038,20216,1,5,0
1477575720039,20217,1,5,0
1477575720040,20216,1,5,0
1477575720041,20217,1,5,0
1477575720042,20219,1,5,0
1477575720043,20219,1,5,0
1477575720044,20220,1,5,0
1477575720045,20220,1,5,0
1477575720046,20216,1,5,0
1477575720047,20219,1,5,0
1477575720048,20212,1,5,0
1477575720049,20214,1,5,0
1477575720050,20220,1,5,0
1477575720051,20218,1,5,0
1477575720052,20219,1,5,0
1477575720053,20221,1,5,0
1477575720054,20220,1,5,0
1477575720055,20222,1,5,0
1477575720056,20222,1,5,0
1477575720057,20222,1,5,0
1477575720058,20224,1,5,0
1477575720059,20224,1,5,0
1477575720060,20224,1,5,0
1477575720061,20225,1,5,0
1477575720062,20224,1,5,0
1477575720063,20223,1,5,0
1477575720064,20224,1,5,0
1477575720065,20224,1,5,0
1477575720066,20223,1,5,0
1477575720067,20224,1,5,0
1477575720068,20225,1,5,0
1477575720069,20226,1,5,0
1477575720070,20226,1,5,0
1477575720071,20227,1,5,0
1477575720072,20227,1,5,0
1477575720073,20225,1,5,0
1477575720074,20227,1,5,0
1477575720075,20226,1,5,0
1477575720076,20230,1,5,0
1477575720077,20228,1,5,0
1477575720078,20229,1,5,0
1477575720079,20229,1,5,0
1477575720080,20230,1,5,0
1477575720081,20232,1,5,0
1477575720082,20228,1,5,0
1477575720083,20233,1,5,0
1477575720084,20232,1,5,0
1477575720085,20230,1,5,0
1477575720086,20230,1,5,0
1477575720087,20266,1,5,0
1477575720088,20257,1,5,0
1477575720089,20260,1,5,0
1477575720090,20260,1,5,0
1477575720091,20259,1,5,0
1477575720092,20261,1,5,0
1477575720093,20261,1,5,0
1477575720094,20261,1,5,0
1477575720095,20258,1,5,0
1477575720096,20260,1,5,0
1477575720097,20260,1,5,0
1477575720098,20260,1,5,0
1477575720099,20261,1,5,0
1477575720100,20260,1,5,0
1477575720101,20260,1,5,0
1477575720102,20259,1,5,0
1477575720103,20257,1,5,0
1477575720104,20260,1,5,0
1477575720105,20257,1,5,0
1477575720106,20257,1,5,0
1477575720107,20257,1,5,0
1477575720108,20258,1,5,0
1477575720109,20259,1,5,0
1477575720110,20258,1,5,0
1477575720111,20256,1,5,0
1477575720112,20258,1,5,0
1477575720113,20256,1,5,0
1477575720114,20255,1,5,0
1477575720115,20256,1,5,0
1477575720116,20256,1,5,0
1477575720117,20256,1,5,0
1477575720118,20252,1,5,0
1477575720119,20254,1,5,0
1477575720120,20254,1,5,0
1477575720121,20253,1,5,0
1477575720122,20253,1,5,0
1477575720123,20253,1,5,0
1477575720124,20252,1,5,0
1477575720125,20252,1,5,0
1477575720126,20251,1,5,0
1477575720127,20252,1,5,0
1477575720128,20246,1,5,0
1477575720129,20247,1,5,0
1477575720130,20250,1,5,0
1477575720131,20250,1,5,0
1477575720132,20250,1,5,0
1477575720133,20249,1,5,0
1477575720134,20248,1,5,0
1477575720135,20246,1,5,0
1477575720136,20246,1,5,0
1477575720137,20246,1,5,0
1477575720138,20245,1,5,0
1477575720139,20243,1,5,0
1477575720140,20243,1,5,0
1477575720141,20243,1,5,0
1477575720142,20241,1,5,0
1477575720143,20241,1,5,0
1477575720144,20238,1,5,0
1477575720145,20239,1,5,0
1477575720146,20237,1,5,0
1477575720147,20237,1,5,0
1477575720148,20235,1,5,0
1477575720149,20234,1,5,0
1477575720150,20234,1,5,0
1477575720151,20233,1,5,0
1477575720152,20233,1,5,0
1477575720153,20231,1,5,0
1477575720154,20232,1,5,0
1477575720155,20229,1,5,0
1477575720156,20229,1,5,0
1477575720157,20228,1,5,0
1477575720158,20223,1,5,0
1477575720159,20222,1,5,0
1477575720160,20222,1,5,0
1477575720161,20219,1,5,0
1477575720162,20223,1,5,0
1477575720163,20222,1,5,0
1477575720164,20221,1,5,0
1477575720165,20220,1,5,0
1477575720166,20221,1,5,0
1477575720167,20220,1,5,0
1477575720168,20216,1,5,0
1477575720169,20217,1,5,0
1477575720170,20216,1,5,0
1477575720171,20214,1,5,0
1477575720172,20213,1,5,0
1477575720173,20213,1,5,0
1477575720174,20212,1,5,0
1477575720175,20210,1,5,0
1477575720176,20208,1,5,0
1477575720177,20206,1,5,0
1477575720178,20206,1,5,0
1477575720179,20205,1,5,0
1477575720180,20205,1,5,0
1477575720181,20203,1,5,0
1477575720182,20203,1,5,0
1477575720183,20202,1,5,0
1477575720184,20201,1,5,0
1477575720185,20200,1,5,0
1477575720186,20199,1,5,0
1477575720187,20190,1,5,0
1477575720188,20180,1,5,0
1477575720189,20182,1,5,0
1477575720190,20183,1,5,0
1477575720191,20184,1,5,0
1477575720192,20185,1,5,0
1477575720193,20185,1,5,0
1477575720194,20186,1,5,0
1477575720195,20187,1,5,0
1477575720196,20188,1,5,0
1477575720197,20189,1,5,0
1477575720198,20189,1,5,0
1477575720199,20189,1,5,0
1477575720200,20191,1,5,0
1477575720201,20191,1,5,0
1477575720202,20192,1,5,0
1477575720203,20192,1,5,0
1477575720204,20193,1,5,0
1477575720205,20194,1,5,0
1477575720206,20195,1,5,0
1477575720207,20196,1,5,0
1477575720208,20198,1,5,0
1477575720209,20198,1,5,0
1477575720210,20199,1,5,0
1477575720211,20199,1,5,0
1477575720212,20202,1,5,0
1477575720213,20201,1,5,0
1477575720214,20202,1,5,0
1477575720215,20203,1,5,0
1477575720216,20205,1,5,0
1477575720217,20204,1,5,0
1477575720218,20205,1,5,0
1477575720219,20207,1,5,0
1477575720220,20208,1,5,0
1477575720221,20210,1,5,0
1477575720222,20210,1,5,0
1477575720223,20210,1,5,0
1477575720224,20209,1,5,0
1477575720225,20212,1,5,0
1477575720226,20214,1,5,0
1477575720227,20214,1,5,0
1477575720228,20216,1,5,0
1477575720229,20216,1,5,0
1477575720230,20215,1,5,0
1477575720231,20220,1,5,0
1477575720232,20218,1,5,0
1477575720233,20220,1,5,0
1477575720234,20220,1,5,0
1477575720235,20220,1,5,0
1477575720236,20222,1,5,0
1477575720237,20222,1,5,0
1477575720238,20223,1,5,0
1477575720239,20224,1,5,0
1477575720240,20225,1,5,0
1477575720241,20226,1,5,0
1477575720242,20227,1,5,0
1477575720243,20229,1,5,0
1477575720244,20229,1,5,0
1477575720245,20232,1,5,0
1477575720246,20233,1,5,0
1477575720247,20234,1,5,0
1477575720248,20235,1,5,0
1477575720249,20235,1,5,0
1477575720250,20236,1,5,0
1477575720251,20238,1,5,0
1477575720252,20237,1,5,0
1477575720253,20238,1,5,0
1477575720254,20240,1,5,0
1477575720255,20241,1,5,0
1477575720256,20242,1,5,0
1477575720257,20242,1,5,0
1477575720258,20244,1,5,0
1477575720259,20246,1,5,0
1477575720260,20247,1,5,0
1477575720261,20247,1,5,0
1477575720262,20245,1,5,0
1477575720263,20248,1,5,0
1477575720264,20251,1,5,0
1477575720265,20250,1,5,0
1477575720266,20249,1,5,0
