Timestamp,Count,Configuration Version,Status Version,Calibration Action
1477675612516,22645,2,16,0
1477675612517,22644,2,16,0
1477675612518,22643,2,16,0
1477675612519,22644,2,16,0
1477675612520,22643,2,16,0
1477675612521,22643,2,16,0
1477675612522,22642,2,16,0
1477675612523,22643,2,16,0
1477675612524,22643,2,16,0
1477675612525,22642,2,16,0
1477675612526,22641,2,16,0
1477675612527,22641,2,16,0
1477675612528,22641,2,16,0
1477675612529,22640,2,16,0
1477675612530,22639,2,16,0
1477675612531,22641,2,16,0
1477675612532,22639,2,16,0
1477675612533,22638,2,16,0
1477675612534,22639,2,16,0
1477675612535,22638,2,16,0
1477675612536,22637,2,16,0
1477675612537,22636,2,16,0
1477675612538,22635,2,16,0
1477675612539,22635,2,16,0
1477675612540,22635,2,16,0
1477675612541,22634,2,16,0
1477675612542,22634,2,16,0
1477675612543,22632,2,16,0
1477675612544,22631,2,16,0
1477675612545,22629,2,16,0
1477675612546,22630,2,16,0
1477675612547,22629,2,16,0
1477675612548,22628,2,16,0
1477675612549,22628,2,16,0
1477675612550,22627,2,16,0
1477675612551,22626,2,16,0
1477675612552,22627,2,16,0
1477675612553,22625,2,16,0
1477675612554,22625,2,16,0
1477675612555,22626,2,16,0
1477675612556,22626,2,16,0
1477675612557,22623,2,16,0
1477675612558,22626,2,16,0
1477675612559,22626,2,16,0
1477675612560,22625,2,16,0
1477675612561,22625,2,16,0
1477675612562,22627,2,16,0
1477675612563,22625,2,16,0
1477675612564,22625,2,16,0
1477675612565,22625,2,16,0
1477675612566,22627,2,16,0
1477675612567,22626,2,16,0
1477675612568,22626,2,16,0
1477675612569,22626,2,16,0
1477675612570,22625,2,16,0
1477675612571,22625,2,16,0
1477675612572,22627,2,16,0
1477675612573,22626,2,16,0
1477675612574,22626,2,16,0
1477675612575,22626,2,16,0
1477675612576,22627,2,16,0
1477675612577,22628,2,16,0
1477675612578,22627,2,16,0
1477675612579,22627,2,16,0
1477675612580,22628,2,16,0
1477675612581,22629,2,16,0
1477675612582,22629,2,16,0
1477675612583,22628,2,16,0
1477675612584,22628,2,16,0
1477675612585,22629,2,16,0
1477675612586,22628,2,16,0
1477675612587,22629,2,16,0
1477675612588,22629,2,16,0
1477675612589,22630,2,16,0
1477675612590,22631,2,16,0
1477675612591,22630,2,16,0
1477675612592,22631,2,16,0
1477675612593,22632,2,16,0
1477675612594,22630,2,16,0
1477675612595,22631,2,16,0
1477675612596,22632,2,16,0
1477675612597,22631,2,16,0
1477675612598,22631,2,16,0
1477675612599,22632,2,16,0
1477675612600,22640,2,16,0
1477675612601,22631,2,16,0
1477675612602,22631,2,16,0
1477675612603,22632,2,16,0
1477675612604,22632,2,16,0
1477675612605,22632,2,16,0
1477675612606,22633,2,16,0
1477675612607,22634,2,16,0
1477675612608,22633,2,16,0
1477675612609,22634,2,16,0
1477675612610,22634,2,16,0
1477675612611,22635,2,16,0
1477675612612,22635,2,16,0
1477675612613,22636,2,16,0
1477675612614,22639,2,16,0
1477675612615,22640,2,16,0
1477675612616,22639,2,16,0
1477675612617,22641,2,16,0
1477675612618,22640,2,16,0
1477675612619,22639,2,16,0
1477675612620,22640,2,16,0
1477675612621,22637,2,16,0
1477675612622,22637,2,16,0
1477675612623,22634,2,16,0
1477675612624,22630,2,16,0
1477675612625,22630,2,16,0
1477675612626,22629,2,16,0
1477675612627,22628,2,16,0
1477675612628,22626,2,16,0
1477675612629,22625,2,16,0
1477675612630,22625,2,16,0
1477675612631,22625,2,16,0
1477675612632,22623,2,16,0
1477675612633,22620,2,16,0
1477675612634,22621,2,16,0
1477675612635,22618,2,16,0
1477675612636,22618,2,16,0
1477675612637,22616,2,16,0
1477675612638,22615,2,16,0
1477675612639,22615,2,16,0
1477675612640,22614,2,16,0
1477675612641,22613,2,16,0
1477675612642,22612,2,16,0
1477675612643,22610,2,16,0
1477675612644,22609,2,16,0
1477675612645,22611,2,16,0
1477675612646,22611,2,16,0
1477675612647,22612,2,16,0
1477675612648,22612,2,16,0
1477675612649,22612,2,16,0
1477675612650,22612,2,16,0
1477675612651,22613,2,16,0
1477675612652,22614,2,16,0
1477675612653,22616,2,16,0
1477675612654,22614,2,16,0
1477675612655,22615,2,16,0
1477675612656,22615,2,16,0
1477675612657,22616,2,16,0
1477675612658,22615,2,16,0
1477675612659,22615,2,16,0
1477675612660,22616,2,16,0
1477675612661,22616,2,16,0
1477675612662,22615,2,16,0
1477675612663,22616,2,16,0
1477675612664,22616,2,16,0
1477675612665,22616,2,16,0
1477675612666,22615,2,16,0
1477675612667,22616,2,16,0
1477675612668,22616,2,16,0
1477675612669,22617,2,16,0
1477675612670,22615,2,16,0
1477675612671,22616,2,16,0
1477675612672,22617,2,16,0
1477675612673,22615,2,16,0
1477675612674,22614,2,16,0
1477675612675,22614,2,16,0
1477675612676,22616,2,16,0
1477675612677,22613,2,16,0
1477675612678,22614,2,16,0
1477675612679,22614,2,16,0
1477675612680,22612,2,16,0
1477675612681,22612,2,16,0
1477675612682,22611,2,16,0
1477675612683,22611,2,16,0
1477675612684,22610,2,16,0
1477675612685,22610,2,16,0
1477675612686,22611,2,16,0
1477675612687,22609,2,16,0
1477675612688,22610,2,16,0
1477675612689,22609,2,16,0
1477675612690,22609,2,16,0
1477675612691,22609,2,16,0
1477675612692,22608,2,16,0
1477675612693,22606,2,16,0
1477675612694,22606,2,16,0
1477675612695,22605,2,16,0
1477675612696,22606,2,16,0
1477675612697,22606,2,16,0
1477675612698,22604,2,16,0
1477675612699,22604,2,16,0
1477675612700,22625,2,16,0
1477675612701,22617,2,16,0
1477675612702,22618,2,16,0
1477675612703,22618,2,16,0
1477675612704,22618,2,16,0
1477675612705,22617,2,16,0
1477675612706,22617,2,16,0
1477675612707,22617,2,16,0
1477675612708,22616,2,16,0
1477675612709,22619,2,16,0
1477675612710,22618,2,16,0
1477675612711,22619,2,16,0
1477675612712,22619,2,16,0
1477675612713,22619,2,16,0
1477675612714,22617,2,16,0
1477675612715,22620,2,16,0
1477675612716,22619,2,16,0
1477675612717,22619,2,16,0
1477675612718,22618,2,16,0
1477675612719,22619,2,16,0
1477675612720,22620,2,16,0
1477675612721,22621,2,16,0
1477675612722,22618,2,16,0
1477675612723,22619,2,16,0
1477675612724,22620,2,16,0
1477675612725,22620,2,16,0
1477675612726,22619,2,16,0
1477675612727,22619,2,16,0
1477675612728,22618,2,16,0
1477675612729,22621,2,16,0
1477675612730,22619,2,16,0
1477675612731,22618,2,16,0
1477675612732,22620,2,16,0
1477675612733,22619,2,16,0
1477675612734,22619,2,16,0
1477675612735,22621,2,16,0
1477675612736,22619,2,16,0
1477675612737,22620,2,16,0
1477675612738,22622,2,16,0
1477675612739,22620,2,16,0
1477675612740,22621,2,16,0
1477675612741,22621,2,16,0
1477675612742,22622,2,16,0
1477675612743,22620,2,16,0
1477675612744,22622,2,16,0
1477675612745,22621,2,16,0
1477675612746,22623,2,16,0
1477675612747,22622,2,16,0
1477675612748,22624,2,16,0
1477675612749,22624,2,16,0
1477675612750,22623,2,16,0
1477675612751,22625,2,16,0
1477675612752,22625,2,16,0
1477675612753,22626,2,16,0
1477675612754,22625,2,16,0
1477675612755,22627,2,16,0
1477675612756,22627,2,16,0
1477675612757,22626,2,16,0
1477675612758,22627,2,16,0
1477675612759,22628,2,16,0
1477675612760,22626,2,16,0
1477675612761,22628,2,16,0
1477675612762,22630,2,16,0
1477675612763,22627,2,16,0
1477675612764,22628,2,16,0
1477675612765,22630,2,16,0
1477675612766,22630,2,16,0
1477675612767,22630,2,16,0
1477675612768,22630,2,16,0
1477675612769,22630,2,16,0
1477675612770,22632,2,16,0
1477675612771,22631,2,16,0
1477675612772,22633,2,16,0
1477675612773,22633,2,16,0
1477675612774,22633,2,16,0
1477675612775,22633,2,16,0
1477675612776,22633,2,16,0
1477675612777,22634,2,16,0
1477675612778,22636,2,16,0
1477675612779,22634,2,16,0
1477675612780,22635,2,16,0
1477675612781,22634,2,16,0
1477675612782,22636,2,16,0
1477675612783,22638,2,16,0
1477675612784,22636,2,16,0
1477675612785,22636,2,16,0
1477675612786,22635,2,16,0
1477675612787,22637,2,16,0
1477675612788,22636,2,16,0
1477675612789,22637,2,16,0
1477675612790,22636,2,16,0
1477675612791,22637,2,16,0
1477675612792,22637,2,16,0
1477675612793,22637,2,16,0
1477675612794,22638,2,16,0
1477675612795,22639,2,16,0
1477675612796,22638,2,16,0
1477675612797,22639,2,16,0
1477675612798,22638,2,16,0
1477675612799,22637,2,16,0
1477675612800,22646,2,16,0
1477675612801,22639,2,16,0
1477675612802,22638,2,16,0
1477675612803,22639,2,16,0
1477675612804,22639,2,16,0
1477675612805,22639,2,16,0
1477675612806,22640,2,16,0
1477675612807,22640,2,16,0
1477675612808,22639,2,16,0
1477675612809,22638,2,16,0
1477675612810,22640,2,16,0
1477675612811,22640,2,16,0
1477675612812,22639,2,16,0
1477675612813,22640,2,16,0
1477675612814,22640,2,16,0
1477675612815,22640,2,16,0
1477675612816,22641,2,16,0
1477675612817,22640,2,16,0
1477675612818,22640,2,16,0
1477675612819,22640,2,16,0
1477675612820,22638,2,16,0
1477675612821,22641,2,16,0
1477675612822,22640,2,16,0
1477675612823,22640,2,16,0
1477675612824,22641,2,16,0
1477675612825,22641,2,16,0
1477675612826,22639,2,16,0
1477675612827,22640,2,16,0
1477675612828,22639,2,16,0
1477675612829,22640,2,16,0
1477675612830,22640,2,16,0
1477675612831,22640,2,16,0
1477675612832,22641,2,16,0
1477675612833,22641,2,16,0
1477675612834,22640,2,16,0
1477675612835,22641,2,16,0
1477675612836,22640,2,16,0
1477675612837,22640,2,16,0
1477675612838,22640,2,16,0
1477675612839,22640,2,16,0
1477675612840,22638,2,16,0
1477675612841,22640,2,16,0
1477675612842,22639,2,16,0
1477675612843,22641,2,16,0
1477675612844,22642,2,16,0
1477675612845,22639,2,16,0
1477675612846,22641,2,16,0
1477675612847,22641,2,16,0
1477675612848,22640,2,16,0
1477675612849,22641,2,16,0
1477675612850,22642,2,16,0
1477675612851,22640,2,16,0
1477675612852,22639,2,16,0
1477675612853,22640,2,16,0
1477675612854,22640,2,16,0
1477675612855,22641,2,16,0
1477675612856,22642,2,16,0
1477675612857,22641,2,16,0
1477675612858,22641,2,16,0
1477675612859,22639,2,16,0
1477675612860,22640,2,16,0
1477675612861,22642,2,16,0
1477675612862,22640,2,16,0
1477675612863,22641,2,16,0
1477675612864,22640,2,16,0
1477675612865,22641,2,16,0
1477675612866,22641,2,16,0
1477675612867,22642,2,16,0
1477675612868,22641,2,16,0
1477675612869,22643,2,16,0
1477675612870,22641,2,16,0
1477675612871,22641,2,16,0
1477675612872,22642,2,16,0
1477675612873,22643,2,16,0
1477675612874,22643,2,16,0
1477675612875,22643,2,16,0
1477675612876,22644,2,16,0
1477675612877,22643,2,16,0
1477675612878,22644,2,16,0
1477675612879,22644,2,16,0
1477675612880,22644,2,16,0
1477675612881,22644,2,16,0
1477675612882,22643,2,16,0
1477675612883,22645,2,16,0
1477675612884,22644,2,16,0
1477675612885,22645,2,16,0
1477675612886,22644,2,16,0
1477675612887,22644,2,16,0
1477675612888,22645,2,16,0
1477675612889,22644,2,16,0
1477675612890,22645,2,16,0
1477675612891,22645,2,16,0
1477675612892,22646,2,16,0
1477675612893,22646,2,16,0
1477675612894,22645,2,16,0
1477675612895,22645,2,16,0
1477675612896,22647,2,16,0
1477675612897,22646,2,16,0
1477675612898,22649,2,16,0
1477675612899,22647,2,16,0
1477675612900,22650,2,16,0
1477675612901,22644,2,16,0
