Timestamp,Count,Configuration Version,Status Version,Calibration Action
1477592613794,26648,1,1,0
1477592613795,26647,1,1,0
1477592613796,26649,1,1,0
1477592613797,26646,1,1,0
1477592613798,26648,1,1,0
1477592613799,26649,1,1,0
1477592613800,26648,1,1,0
1477592613801,26647,1,1,0
1477592613802,26648,1,1,0
1477592613803,26648,1,1,0
1477592613804,26648,1,1,0
1477592613805,26650,1,1,0
1477592613806,26652,1,1,0
1477592613807,26649,1,1,0
1477592613808,26651,1,1,0
1477592613809,26652,1,1,0
1477592613810,26654,1,1,0
1477592613811,26653,1,1,0
1477592613812,26653,1,1,0
1477592613813,26653,1,1,0
1477592613814,26653,1,1,0
1477592613815,26654,1,1,0
1477592613816,26654,1,1,0
1477592613817,26654,1,1,0
1477592613818,26656,1,1,0
1477592613819,26654,1,1,0
1477592613820,26665,1,1,0
1477592613821,26649,1,1,0
1477592613822,26650,1,1,0
1477592613823,26650,1,1,0
1477592613824,26649,1,1,0
1477592613825,26649,1,1,0
1477592613826,26649,1,1,0
1477592613827,26649,1,1,0
1477592613828,26649,1,1,0
1477592613829,26650,1,1,0
1477592613830,26650,1,1,0
1477592613831,26650,1,1,0
1477592613832,26649,1,1,0
1477592613833,26649,1,1,0
1477592613834,26648,1,1,0
1477592613835,26648,1,1,0
1477592613836,26647,1,1,0
1477592613837,26648,1,1,0
1477592613838,26648,1,1,0
1477592613839,26649,1,1,0
1477592613840,26650,1,1,0
1477592613841,26649,1,1,0
1477592613842,26651,1,1,0
1477592613843,26650,1,1,0
1477592613844,26650,1,1,0
1477592613845,26650,1,1,0
1477592613846,26651,1,1,0
1477592613847,26650,1,1,0
1477592613848,26652,1,1,0
1477592613849,26650,1,1,0
1477592613850,26651,1,1,0
1477592613851,26650,1,1,0
1477592613852,26650,1,1,0
1477592613853,26649,1,1,0
1477592613854,26648,1,1,0
1477592613855,26648,1,1,0
1477592613856,26650,1,1,0
1477592613857,26649,1,1,0
1477592613858,26648,1,1,0
1477592613859,26650,1,1,0
1477592613860,26652,1,1,0
1477592613861,26648,1,1,0
1477592613862,26648,1,1,0
1477592613863,26649,1,1,0
1477592613864,26649,1,1,0
1477592613865,26647,1,1,0
1477592613866,26648,1,1,0
1477592613867,26647,1,1,0
1477592613868,26648,1,1,0
1477592613869,26646,1,1,0
1477592613870,26647,1,1,0
1477592613871,26647,1,1,0
1477592613872,26649,1,1,0
1477592613873,26647,1,1,0
1477592613874,26648,1,1,0
1477592613875,26646,1,1,0
1477592613876,26646,1,1,0
1477592613877,26647,1,1,0
1477592613878,26647,1,1,0
1477592613879,26648,1,1,0
1477592613880,26647,1,1,0
1477592613881,26648,1,1,0
1477592613882,26647,1,1,0
1477592613883,26646,1,1,0
1477592613884,26646,1,1,0
1477592613885,26646,1,1,0
1477592613886,26646,1,1,0
1477592613887,26647,1,1,0
1477592613888,26648,1,1,0
1477592613889,26647,1,1,0
1477592613890,26649,1,1,0
1477592613891,26646,1,1,0
1477592613892,26649,1,1,0
1477592613893,26648,1,1,0
1477592613894,26647,1,1,0
1477592613895,26649,1,1,0
1477592613896,26647,1,1,0
1477592613897,26646,1,1,0
1477592613898,26648,1,1,0
1477592613899,26646,1,1,0
1477592613900,26646,1,1,0
1477592613901,26647,1,1,0
1477592613902,26646,1,1,0
1477592613903,26646,1,1,0
1477592613904,26647,1,1,0
1477592613905,26645,1,1,0
1477592613906,26643,1,1,0
1477592613907,26644,1,1,0
1477592613908,26644,1,1,0
1477592613909,26644,1,1,0
1477592613910,26645,1,1,0
