Count;"Sequence Number"
97823;7009
97824;6952
97825;7059
97826;6981
97827;6975
97828;7035
97829;7009
97830;7072
97831;7033
97832;7041
97833;7048
97834;6984
97835;6994
97836;6982
97837;6946
97838;6923
97839;6965
97840;6850
97841;7005
97842;6763
97843;6828
97844;4206
97845;4551
97846;6735
97847;6902
97848;6783
97849;7028
97850;7061
97851;7064
97852;7008
97853;7002
97854;7018
97855;7057
97856;7054
97857;7038
97858;7068
97859;7062
97860;4714
97861;4488
97862;5169
97863;6273
97864;6884
97865;7054
97866;7068
97867;7050
97868;7070
97869;7041
97870;6971
97871;7084
97872;7095
97873;6787
97874;7080
97875;6974
97876;7101
97877;4324
97878;4888
97879;5074
97880;6484
97881;6833
97882;7033
97883;7021
97884;7084
97885;7057
97886;7066
97887;7065
97888;7075
97889;7011
97890;7015
97891;7080
97892;7074
97893;6857
97894;4106
97895;5472
97896;6095
97897;6642
97898;7097
97899;7017
97900;7155
97901;7011
97902;7118
97903;7107
97904;7003
97905;7093
97906;7122
97907;7094
97908;7175
97909;7079
97910;7076
97911;7056
97912;7103
97913;7060
97914;7026
97915;7104
97916;7094
97917;7049
97918;7039
97919;7069
97920;7044
97921;7121
97922;7087
97923;7106
97924;7088
97925;7055
97926;7091
97927;7022
97928;7123
97929;7090
97930;7079
97931;6972
97932;7134
97933;7091
97934;7047
97935;7138
97936;7097
97937;7126
97938;7107
97939;6914
97940;7112
97941;6909
97942;7116
97943;7060
97944;4018
97945;4905
97946;6540
97947;6893
97948;7133
97949;7133
97950;6859
97951;7064
97952;7092
97953;7077
97954;7060
97955;7140
97956;7165
97957;6973
97958;7128
97959;7149
97960;4781
97961;4628
97962;5333
97963;6612
97964;7004
97965;7154
97966;7136
97967;7161
97968;7120
97969;7128
97970;7101
97971;7084
97972;7112
97973;6850
97974;7065
97975;7035
97976;7035
97977;5008
97978;4566
97979;5880
97980;6146
97981;6647
97982;7075
97983;7085
97984;7071
97985;7089
97986;7047
97987;7063
97988;7065
97989;7078
97990;6956
97991;6912
97992;7083
97993;6782
97994;4297
97995;4529
97996;6153
97997;6845
97998;7117
97999;7091
98000;7179
98001;7179
98002;7203
98003;7191
98004;7166
98005;7231
98006;7175
98007;7121
98008;7203
98009;7185
98010;7195
98011;7128
98012;7188
98013;7202
98014;7145
98015;7169
98016;7175
98017;7176
98018;7132
98019;7169
98020;7183
98021;7098
98022;7095
98023;7141
98024;7173
98025;7145
98026;7157
98027;7224
98028;7167
98029;7062
98030;7190
98031;7154
98032;7172
98033;7173
98034;7179
98035;7187
98036;7134
98037;7174
98038;7172
98039;7159
98040;7005
98041;7137
98042;7154
98043;6992
98044;4215
98045;4823
98046;6584
98047;7059
98048;7211
98049;7155
98050;7176
98051;7198
98052;7182
98053;7107
98054;7069
98055;7148
98056;7220
98057;7220
98058;7214
98059;7206
98060;5102
98061;4533
98062;5325
98063;6053
98064;6976
98065;7134
98066;7123
98067;7105
98068;7102
98069;7128
98070;7090
98071;7171
98072;7162
98073;7144
98074;7134
98075;7132
98076;7154
98077;4931
98078;4492
98079;5453
98080;6530
98081;7107
98082;7233
